dia,canal,pilar,template,id,titular
Lunes,tiktok,educar,dato,o001,Lo que nadie te cuenta de amortiguación
Lunes,ig-feed,entretener,lista,o002,POV: por fin entiendes amortiguación
Martes,youtube,inspirar,historia,o003,De cero a dominar amortiguación
Martes,tiktok,comunidad,pregunta,o004,¿Tu mayor duda con amortiguación?
Miércoles,ig-feed,educar,tutorial,o005,3 errores comunes con ligereza
Miércoles,youtube,entretener,pov,o006,5 cosas de ligereza que no sabías
Jueves,tiktok,inspirar,historia,o007,La historia detrás de ligereza
Viernes,ig-feed,educar,mito,o008,La guía rápida de running urbano
Viernes,youtube,entretener,lista,o009,Cuando descubres running urbano
Sábado,tiktok,educar,dato,o010,¿Lo estás haciendo bien con rutina de calentamiento?
Sábado,ig-feed,entretener,pov,o011,POV: por fin entiendes rutina de calentamiento
Domingo,youtube,educar,tutorial,o012,Lo que nadie te cuenta de amortiguación
